date,campaign_id,campaign_name,impressions,clicks,conversions,spend,revenue,region,platform
2025-11-01,C001,Holiday_Promo,125000,3750,187,2500.00,4675.00,New York,Facebook
2025-11-01,C002,Black_Friday_Sale,98000,2940,147,1800.00,3675.00,Los Angeles,Google
2025-11-01,C003,Winter_Collection,87000,2610,130,1500.00,3250.00,Chicago,Instagram
2025-11-01,C004,Tech_Gadgets,156000,4680,234,3200.00,5850.00,Miami,Facebook
2025-11-01,C005,Food_Delivery,67000,2010,100,1200.00,2500.00,Houston,TikTok
2025-11-02,C001,Holiday_Promo,132000,3960,198,2600.00,4950.00,New York,Facebook
2025-11-02,C002,Black_Friday_Sale,105000,3150,157,1900.00,3925.00,Los Angeles,Google
2025-11-02,C003,Winter_Collection,92000,2760,138,1600.00,3450.00,Chicago,Instagram
2025-11-02,C004,Tech_Gadgets,163000,4890,244,3350.00,6100.00,Miami,Facebook
2025-11-02,C005,Food_Delivery,71000,2130,106,1280.00,2650.00,Houston,TikTok
2025-11-03,C001,Holiday_Promo,128000,3840,192,2550.00,4800.00,New York,Facebook
2025-11-03,C002,Black_Friday_Sale,112000,3360,168,2000.00,4200.00,Los Angeles,Google
2025-11-03,C003,Winter_Collection,95000,2850,142,1650.00,3550.00,Chicago,Instagram
2025-11-03,C004,Tech_Gadgets,45000,1350,67,1200.00,1675.00,Miami,Facebook
2025-11-03,C005,Food_Delivery,74000,2220,111,1340.00,2775.00,Houston,TikTok
2025-11-04,C001,Holiday_Promo,135000,4050,202,2700.00,5050.00,New York,Facebook
2025-11-04,C002,Black_Friday_Sale,118000,3540,177,2100.00,4425.00,Los Angeles,Google
2025-11-04,C003,Winter_Collection,98000,2940,147,1700.00,3675.00,Chicago,Instagram
2025-11-04,C004,Tech_Gadgets,52000,1560,78,1350.00,1950.00,Miami,Facebook
2025-11-04,C005,Food_Delivery,78000,2340,117,1420.00,2925.00,Houston,TikTok
2025-11-05,C001,Holiday_Promo,142000,4260,213,2850.00,5325.00,New York,Facebook
